age,Dept,education,job_level,rating,onsite,awards,certifications,salary,satisfied
28,HR,PG,5,2,0,1,0,86750,1
50,Technology,PG,3,5,1,2,1,42419,0
43,Technology,UG,4,1,0,2,0,65715,0
44,Sales,PG,2,3,1,0,0,29805,1
33,HR,UG,2,1,0,5,0,29805,1
40,Purchasing,UG,3,3,0,7,1,42419,1
26,Purchasing,UG,5,5,0,2,0,86750,0
25,Technology,UG,1,1,0,4,0,24076,0
35,HR,PG,3,4,0,0,0,42419,1
45,Technology,PG,3,3,0,9,0,42419,0
31,Marketing,UG,4,4,1,6,0,65715,1
43,Technology,PG,2,1,0,9,1,29805,1
28,Technology,UG,3,4,1,0,0,42419,0
48,Purchasing,PG,3,4,1,8,0,42419,1
52,Purchasing,PG,5,1,1,7,0,86750,1
50,Purchasing,UG,5,5,1,6,0,86750,1
34,Marketing,PG,1,4,1,9,0,24076,0
24,Purchasing,UG,4,4,0,6,0,65715,1
54,HR,PG,1,5,0,4,0,24076,1
25,Sales,UG,5,4,0,4,0,86750,1
25,HR,UG,2,4,1,4,0,29805,1
50,HR,PG,5,4,0,0,0,86750,1
34,Purchasing,PG,4,2,0,7,1,65715,1
37,Sales,UG,5,5,0,0,1,86750,1
31,Sales,PG,4,4,0,3,1,65715,0
53,Sales,PG,4,5,0,8,1,65715,0
45,Marketing,UG,4,3,1,8,0,65715,1
30,Purchasing,UG,4,3,0,4,1,65715,0
33,Sales,PG,4,4,1,3,1,65715,0
38,Marketing,UG,2,5,1,2,0,29805,1
54,Technology,UG,1,5,1,2,1,24076,0
48,Technology,UG,3,5,1,4,1,42419,1
49,Marketing,PG,1,2,1,9,0,24076,1
47,Marketing,PG,4,3,0,0,0,65715,1
44,Purchasing,UG,2,5,0,4,0,29805,1
26,Purchasing,PG,5,5,0,5,1,86750,1
50,Technology,UG,2,2,1,6,1,29805,0
23,Sales,PG,4,2,0,8,0,65715,1
46,Technology,UG,2,5,0,2,0,29805,0
29,Sales,UG,2,1,1,1,1,29805,1
24,Sales,PG,4,5,1,2,0,65715,1
46,Purchasing,UG,2,5,1,8,1,29805,1
50,HR,PG,3,2,1,6,0,42419,0
27,HR,PG,3,2,0,8,0,42419,1
29,Marketing,UG,2,5,1,1,1,29805,1
26,Purchasing,UG,5,5,1,4,0,86750,1
27,Sales,PG,4,5,0,3,0,65715,1
46,HR,UG,3,2,0,1,0,42419,0
23,Sales,UG,5,5,1,8,1,86750,1
23,HR,UG,2,5,0,8,0,29805,0
37,HR,UG,5,4,1,5,0,86750,1
42,HR,UG,1,1,1,5,0,24076,0
41,Purchasing,PG,3,3,0,7,0,42419,0
51,Technology,PG,2,1,0,5,0,29805,1
32,Sales,UG,4,4,1,0,0,65715,1
